holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,month,temp_c,hour,day_of_week,is_weekend,hour_sin,hour_cos,temp_c_scaled,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,is_precipitation,total_precipitation,is_overcast,is_clear,is_severe_weather,temp_c_zscore,traffic_volume_zscore,temp_c_minmax,traffic_volume_minmax,congestion_category
Nan,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,10,15.13,9,1,0,0.7071067811865476,-0.7071067811865475,0.9297255458444866,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.5304100524614056,1.1501933773201143,0.9297255458444866,0.7616758241758241,High
Nan,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,10,16.21,10,1,0,0.49999999999999994,-0.8660254037844387,0.9332086303092849,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.6113772228696132,0.6323153795017018,0.9332086303092849,0.6203296703296703,Medium
Nan,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,10,16.43,11,1,0,0.258819045102521,-0.9659258262890682,0.9339181475150772,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0.6278705353601739,0.7586393614768443,0.9339181475150772,0.6548076923076923,High
Nan,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,10,16.98,12,1,0,1.2246467991473532e-16,-1.0,0.9356919405295578,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0.6691038165865759,0.8889896058256963,0.9356919405295578,0.6903846153846154,High
Nan,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,10,17.99,13,1,0,-0.2588190451025208,-0.9659258262890683,0.9389492695197859,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.7448231148386957,0.8346350637806151,0.9389492695197859,0.6755494505494506,High
Nan,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,10,18.57,14,1,0,-0.4999999999999997,-0.8660254037844388,0.9408198148805108,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.7883054841319925,0.9669984393163221,0.9408198148805108,0.7116758241758242,High
Nan,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,10,20.02,15,1,0,-0.7071067811865471,-0.7071067811865479,0.9454961782823232,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.897011407365234,1.1698214063919492,0.9454961782823232,0.7670329670329671,High
Nan,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,10,20.71,16,1,0,-0.8660254037844385,-0.5000000000000004,0.9477214822459443,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.9487404329038112,1.3867362917755601,0.9477214822459443,0.8262362637362637,High
Nan,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,10,20.99,17,1,0,-0.9659258262890683,-0.25881904510252063,0.9486245041442255,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.969731921528161,1.274000945311688,0.9486245041442255,0.7954670329670329,High
Nan,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,10,19.95,18,1,0,-1.0,-1.8369701987210297e-16,0.945270422807753,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.8917635352091465,0.7601492098669854,0.945270422807753,0.6552197802197802,High
Nan,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,10,17.82,19,1,0,-0.9659258262890684,0.2588190451025203,0.9384010062244008,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.7320782824596261,0.14060808711240255,0.9384010062244008,0.4861263736263736,Medium
Nan,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,10,16.23,20,1,0,-0.8660254037844386,0.5000000000000001,0.933273131873448,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.6128766149142095,-0.2393704244064521,0.933273131873448,0.3824175824175824,Medium
Nan,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,10,15.46,21,1,0,-0.7071067811865477,0.7071067811865474,0.9307898216531749,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.5551500211972468,-0.4522590474163534,0.9307898216531749,0.3243131868131868,Medium
Nan,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,10,14.01,22,1,0,-0.5000000000000004,0.8660254037844384,0.9261134582513625,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.4464440979640052,-0.8709903342821641,0.9261134582513625,0.21002747252747253,Low
Nan,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,10,12.3,23,1,0,-0.25881904510252157,0.9659258262890681,0.920598574515432,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.31824607815101,-1.1558483972221265,0.920598574515432,0.13228021978021978,Low
Nan,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,10,11.48,0,2,0,0.0,1.0,0.9179540103847519,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.2567710043225561,-1.3858486353202943,0.9179540103847519,0.06950549450549451,Low
Nan,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,10,10.32,1,2,0,0.25881904510252074,0.9659258262890683,0.9142129196633018,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.16980626573596286,-1.4789559527123315,0.9142129196633018,0.044093406593406596,Low
Nan,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,10,8.03,2,2,0,0.49999999999999994,0.8660254037844387,0.9068274905666461,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,-0.0018741233703290833,-1.5031135269545899,0.9068274905666461,0.0375,Low
Nan,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,10,7.94,3,2,0,0.7071067811865476,0.7071067811865476,0.906537233527913,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,-0.008621387571012966,-1.4558049440635006,0.906537233527913,0.05041208791208791,Low
Nan,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,10,6.38,4,2,0,0.8660254037844386,0.5000000000000001,0.9015061115232044,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,-0.12557396704953497,-1.2308375339324702,0.9015061115232044,0.11181318681318682,Low
